# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
2392 14296 0  3636
      206      4220 0.055555555555554518576
      209      5195 0
      209      5199 0
      209      5213 0
      210      5195 -0.055555555555557252501
      210      5199 -0.22222222222222132171
      210      5213 -0.055555555555554442249
      213      4205 0
      213      4207 0
      213      4209 0
      214      4205 0.05555555555555443531
      214      4207 0.22222222222221613142
      214      4209 0.055555555555554428371
      219      5192 0
      219      5195 0
      219      5199 0
      220      5192 -0.05555555555555204833
      220      5195 -0.22222222222222373644
      220      5199 -0.055555555555557252501
      221      4207 0
      221      4209 0
      221      4211 0
      222      4207 0.055555555555556905556
      222      4209 0.22222222222222345889
      222      4211 0.055555555555554525515
      227      5189 0
      227      5192 0
      227      5195 0
      228      5189 -0.055555555555557252501
      228      5192 -0.22222222222222617893
      228      5195 -0.055555555555554511638
      229      4209 0
      229      4211 0
      229      4212 0
      230      4209 0.055555555555552055269
      230      4211 0.22222222222221815757
      230      4212 0.055555555555551694447
      235      5187 0
      235      5189 0
      235      5192 0
      236      5187 -0.055555555555556912495
      236      5189 -0.2222222222222237642
      236      5192 -0.055555555555557252501
      237      4193 0
      237      4211 0
      237      4212 0
      238      4193 0.055555555555556905556
      238      4211 0.055555555555557245562
      238      4212 0.22222222222222379195
      243      5185 0
      243      5187 0
      243      5189 0
      244      5185 -0.05555555555555725944
      244      5187 -0.22222222222222132171
      244      5189 -0.055555555555554442249
      245      4193 0
      245      4195 0
      245      4212 0
      246      4193 0.22222222222221613142
      246      4195 0.055555555555554428371
      246      4212 0.05555555555555443531
      251      5184 0
      251      5185 0
      251      5187 0
      252      5184 -0.05555555555555725944
      252      5185 -0.22222222222222653976
      252      5187 -0.055555555555557252501
      253      4149 0
      253      4193 0
      253      4195 0
      254      4149 0.055555555555554511638
      254      4193 0.055555555555556905556
      254      4195 0.22222222222222345889
      259      5182 0
      259      5184 0
      259      5185 0
      260      5182 -0.055555555555552041391
      260      5184 -0.22222222222222370869
      260      5185 -0.055555555555557252501
      263      3726 0
      263      4149 0
      263      4195 0
      264      3726 0.055555555555554428371
      264      4149 0.22222222222221849064
      264      4195 0.055555555555552055269
      267      5181 0
      267      5182 0
      267      5184 0
      268      5181 -0.055555555555556905556
      268      5182 -0.22222222222222345889
      268      5184 -0.055555555555554525515
      269      5180 0
      269      5181 0
      269      5182 0
      270      5180 -0.055555555555557245562
      270      5181 -0.22222222222222132171
      270      5182 -0.055555555555554428371
      273      3726 0
      273      3727 0
      273      4149 0
      274      3726 0.22222222222222107191
      274      3727 0.055555555555556905556
      274      4149 0.055555555555556905556
      277      5164 0
      277      5180 0
      277      5181 0
      278      5164 -0.055555555555554428371
      278      5180 -0.22222222222222132171
      278      5181 -0.05555555555555725944
      281      3679 0
      281      3726 0
      281      3727 0
      282      3679 0.055555555555551708324
      282      3726 0.055555555555554428371
      282      3727 0.22222222222221579835
      285      5164 0
      285      5175 0
      285      5180 0
      286      5164 -0.22222222222222617893
      286      5175 -0.055555555555554858582
      286      5180 -0.055555555555556912495
      289      3679 0
      289      3727 0
      289      3729 0
      290      3679 0.22222222222222379195
      290      3727 0.055555555555557252501
      290      3729 0.055555555555556905556
      293      5164 0
      293      5172 0
      293      5175 0
      294      5164 -0.055555555555554865521
      294      5172 -0.055555555555556905556
      294      5175 -0.22222222222222620669
      297      3679 0
      297      3729 0
      297      3732 0
      298      3679 0.055555555555554442249
      298      3729 0.22222222222221613142
      298      3732 0.055555555555554428371
      301      5167 0
      301      5172 0
      301      5175 0
      302      5167 -0.05555555555555725944
      302      5172 -0.22222222222222132171
      302      5175 -0.055555555555554442249
      305      3729 0
      305      3732 0
      305      3733 0
      306      3729 0.055555555555556905556
      306      3732 0.22222222222222107191
      306      3733 0.055555555555556905556
      309      5165 0
      309      5167 0
      309      5172 0
      310      5165 -0.055555555555554442249
      310      5167 -0.22222222222222134946
      310      5172 -0.055555555555557252501
      311      3732 0
      311      3733 0
      311      3736 0
      312      3732 0.05555555555555443531
      312      3733 0.22222222222221851839
      312      3736 0.055555555555552055269
      317      5165 0
      317      5167 0
      317      5204 0
      318      5165 -0.22222222222222617893
      318      5167 -0.055555555555556905556
      318      5204 -0.055555555555554858582
      319      3733 0
      319      3736 0
      319      3737 0
      320      3733 0.055555555555554518576
      320      3736 0.22222222222222343113
      320      3737 0.055555555555556905556
      325      5165 0
      325      5200 0
      325      5204 0
      326      5165 -0.055555555555554865521
      326      5200 -0.055555555555556912495
      326      5204 -0.22222222222222620669
      327      3736 0
      327      3737 0
      327      3741 0
      328      3736 0.05555555555555443531
      328      3737 0.22222222222221613142
      328      3741 0.055555555555554428371
      331      5198 0
      331      5200 0
      331      5204 0
      332      5198 -0.05555555555555725944
      332      5200 -0.22222222222222132171
      332      5204 -0.055555555555554442249
      335      3737 0
      335      3741 0
      335      3742 0
      336      3737 0.055555555555556905556
      336      3741 0.22222222222222345889
      336      3742 0.055555555555554518576
      339      5197 0
      339      5198 0
      339      5200 0
      340      5197 -0.055555555555554442249
      340      5198 -0.22222222222222132171
      340      5200 -0.055555555555557252501
      343      3741 0
      343      3742 0
      343      3744 0
      344      3741 0.055555555555552041391
      344      3742 0.22222222222221815757
      344      3744 0.055555555555551708324
      347      5194 0
      347      5197 0
      347      5198 0
      348      5194 -0.055555555555557599445
      348      5197 -0.22222222222222653976
      348      5198 -0.055555555555556912495
      351      3742 0
      351      3744 0
      351      3745 0
      352      3742 0.055555555555557252501
      352      3744 0.22222222222222379195
      352      3745 0.055555555555556905556
      355      5193 0
      355      5194 0
      355      5197 0
      356      5193 -0.05555555555555725944
      356      5194 -0.22222222222222620669
      356      5197 -0.055555555555554525515
      361      3744 0
      361      3745 0
      361      3748 0
      362      3744 0.05555555555555443531
      362      3745 0.22222222222221613142
      362      3748 0.055555555555554428371
      363      5141 0
      363      5193 0
      363      5194 0
      364      5141 -0.055555555555554442249
      364      5193 -0.22222222222221577059
      364      5194 -0.055555555555551694447
      365      3745 0
      365      3748 0
      365      3749 0
      366      3745 0.055555555555556905556
      366      3748 0.22222222222222345889
      366      3749 0.055555555555554518576
      371      4687 0
      371      5141 0
      371      5193 0
      372      4687 -0.055555555555557266378
      372      5141 -0.22222222222222379195
      372      5193 -0.055555555555556905556
      373      3748 0
      373      3749 0
      373      3750 0
      374      3748 0.055555555555552041391
      374      3749 0.22222222222221849064
      374      3750 0.055555555555554428371
      379      4682 0
      379      4687 0
      379      5141 0
      380      4682 -0.055555555555554511638
      380      4687 -0.22222222222222615118
      380      5141 -0.055555555555557252501
      381      3749 0
      381      3750 0
      381      3751 0
      382      3749 0.055555555555556905556
      382      3750 0.22222222222222107191
      382      3751 0.055555555555556898617
      383      4682 0
      383      4687 0
      383      4704 0
      384      4682 -0.22222222222222373644
      384      4687 -0.055555555555552062208
      384      4704 -0.055555555555557252501
      389      3750 0
      389      3751 0
      389      3755 0
      390      3750 0.055555555555554442249
      390      3751 0.22222222222221851839
      390      3755 0.055555555555552041391
      391      3681 0
      391      3751 0
      391      3755 0
      392      3681 0.055555555555556905556
      392      3751 0.055555555555554511638
      392      3755 0.22222222222222343113
      395      4682 0
      395      4697 0
      395      4704 0
      396      4682 -0.055555555555557252501
      396      4697 -0.055555555555554442249
      396      4704 -0.22222222222222132171
      399      3681 0
      399      3683 0
      399      3755 0
      400      3681 0.22222222222221613142
      400      3683 0.055555555555554428371
      400      3755 0.055555555555554442249
      401      4686 0
      401      4697 0
      401      4704 0
      402      4686 -0.055555555555557245562
      402      4697 -0.22222222222222379195
      402      4704 -0.055555555555556905556
      407      3681 0
      407      3683 0
      407      3684 0
      408      3681 0.055555555555556905556
      408      3683 0.22222222222222379195
      408      3684 0.055555555555557252501
      409      4677 0
