1i-,,1i+,,1r,,2i,,2r,
X,Y,X,Y,X,Y,X,Y,X,Y
9.643015133,-12.14567117,8.914731024,-7.321336413,11.28672076,3.601918387,8.218403443,4.333853138,7.653986748,9.350153205
9.821353345,-12.69475629,9.07053993,-8.552786096,11.47162141,3.717741029,8.386232473,5.514707869,7.839148048,8.397833705
10.01314282,-13.25156292,9.230544634,-9.755006053,11.65652624,3.816404761,8.558749325,6.622204288,8.024263288,7.634262214
10.1981965,-13.76289843,9.33160264,-10.52415419,11.84143212,3.910778766,8.747264974,7.233601668,8.209260239,7.355429928
10.37820123,-14.25192737,9.451528299,-11.51369863,12.02633695,4.009442498,8.954436928,7.94081885,8.394250909,7.102336007
10.56829613,-14.75382548,9.575721151,-11.95263344,12.21124387,4.099526775,9.136987418,8.50164511,8.579193426,7.04656955
10.75334019,-15.2256955,9.760784051,-12.50171856,12.39447214,4.179315706,9.322562023,9.300285123,8.769117452,7.244897951
10.93838425,-15.69756552,9.943980377,-13.05652331,12.58105668,4.283985056,9.517546502,9.921299777,8.948962613,7.409766476
11.12342307,-16.14798691,10.13090671,-13.58701961,12.76596256,4.37835906,9.698452195,10.41507805,9.133858721,7.544177937
11.30846294,-16.60269802,10.315956,-14.08033827,12.95086844,4.472733065,9.885363102,10.9046432,9.318747851,7.707187581
11.49350072,-17.04882968,10.50773322,-14.58695508,13.13577431,4.567107069,10.07017542,11.3824116,9.503639074,7.861617771
11.67853117,-17.46493324,10.68605249,-15.05839613,13.3206781,4.670060529,10.24239643,11.78855687,9.688530298,8.01604796
11.8635658,-17.89819572,10.87781904,-15.52125773,13.50558398,4.764434533,10.42722006,12.21998089,9.873419427,8.179057604
12.04859939,-18.32716847,11.05613851,-15.99355672,13.69048672,4.87167772,10.62645209,12.65814591,10.0583117,8.329198065
12.23363717,-18.77330012,11.24117524,-16.43539865,13.87538841,4.983210635,10.81127407,13.09631093,10.24319978,8.496497437
12.42539073,-19.1829691,11.42117034,-16.88496209,14.15351826,5.123287671,10.99609935,13.52099395,10.428091,8.650927626
