# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
2990 19594 0  3014
      313       621 0.0032666666666666273854
      314       620 0.0032666666666667262646
      314       622 0.0032666666666666273854
      315       619 -2.0220370516854657694e-017
      315       621 0.0032600000000000319694
      315       623 -7.6707303703349438706e-018
      316       620 -2.0220370516854657694e-017
      316       622 0.0032600000000000319694
      316       624 -7.6707303703349438706e-018
      321       325 -7.6978354246470814815e-018
      321       327 0.0032449999999999779368
      321       329 9.2428235204389252999e-018
      322       326 -7.6978354246470814815e-018
      322       328 0.0032449999999999779368
      322       330 9.2428235204389252999e-018
      325       325 0.0032533333333333303017
      325       327 0.0032533333333333303017
      326       326 0.0032533333333333303017
      326       328 0.0032533333333333303017
      333       617 0.0032866666666667089698
      333       619 0.0032866666666666105243
      334       618 0.0032866666666667089698
      334       620 0.0032866666666666105243
      335       617 1.1329912702473521335e-017
      335       619 0.0032766666666666777186
      335       621 -2.0247475571166795305e-017
      336       618 1.1329912702473521335e-017
      336       620 0.0032766666666666777186
      336       622 -2.0247475571166795305e-017
      341       323 -2.0166160408230382473e-017
      341       325 0.0032600000000000319694
      341       327 -7.6978354246470814815e-018
      342       324 -2.0166160408230382473e-017
      342       326 0.0032600000000000319694
      342       328 -7.6978354246470814815e-018
      345       323 0.0032666666666667262646
      345       325 0.0032666666666666273854
      346       324 0.0032666666666667262646
      346       326 0.0032666666666666273854
      353       615 0.0033033333333333620915
      353       617 0.0033033333333333616579
      354       616 0.0033033333333333620915
      354       618 0.0033033333333333616579
      355       615 -5.5023260253639350026e-018
      355       617 0.0032950000000000053899
      355       619 1.1438332919722071779e-017
      356       616 -5.5023260253639350026e-018
      356       618 0.0032950000000000053899
      356       620 1.1438332919722071779e-017
      361       321 1.1329912702473521335e-017
      361       323 0.0032766666666666781522
      361       325 -2.0355895788415345748e-017
      362       322 1.1329912702473521335e-017
      362       324 0.0032766666666666781522
      362       326 -2.0355895788415345748e-017
      365       321 0.0032866666666667094035
      365       323 0.0032866666666666100906
      366       322 0.0032866666666667094035
      366       324 0.0032866666666666100906
      373       613 0.0033166666666666340217
      373       615 0.0033166666666666344554
      374       614 0.0033166666666666340217
      374       616 0.0033166666666666344554
      375       613 -1.2874900798265365154e-017
      375       615 0.0033100000000000173554
      375       617 -5.6378512969246230568e-018
      376       614 -1.2874900798265365154e-017
      376       616 0.0033100000000000173554
      376       618 -5.6378512969246230568e-018
      381       319 -5.5023260253639350026e-018
      381       321 0.0032950000000000053899
      381       323 1.1411227865409934168e-017
      382       320 -5.5023260253639350026e-018
      382       322 0.0032950000000000053899
      382       324 1.1411227865409934168e-017
      385       319 0.0033033333333333620915
      385       321 0.0033033333333333612242
      386       320 0.0033033333333333620915
      386       322 0.0033033333333333612242
      393       611 0.003336666666666740326
      393       613 0.0033366666666666423141
      394       612 0.003336666666666740326
      394       614 0.0033366666666666423141
      395       611 1.338989683019597976e-017
      395       613 0.0033266666666666631046
